Método,Tiempo (s)
pigeonholeSort,0.00018229999113827944
bucketSort,0.00017849996220320463
quickSort,8.480000542476773e-05
selectionSort,7.529999129474163e-05
radixSort,5.269999383017421e-05
treeSort,4.0599959902465343e-05
heapSort,2.4999957531690598e-05
binaryInsertionSort,2.3900007363408804e-05
combSort,2.1400046534836292e-05
gnomeSort,2.080004196614027e-05
bitonicSort,2.0400038920342922e-05
bubbleSort,1.7900019884109497e-05
timSort,9.700015652924776e-06
